Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Testis	9.28486021018e-10	7.3508587025e-09	0.449743321103
A11.872.040.Adult.Stem.Cells	9.38200702269e-10	7.62857885044e-09	0.451059491538
A11.872.378.Hematopoietic.Stem.Cells	8.58641196482e-10	8.01651957089e-09	0.457351263447
A10.272.497.Epidermis	7.77478725238e-10	8.33258484262e-09	0.462830301242
Kidney_Cortex	6.09035356086e-10	6.68794501799e-09	0.463720611517
A11.627.635.Myeloid.Progenitor.Cells	7.37499396009e-10	8.36642365918e-09	0.464878768734
Ovary	5.62470724726e-10	7.03823598112e-09	0.468151859401
Cervix_Ectocervix	5.11208256473e-10	6.44757616765e-09	0.468402217232
A11.620.520.Myocytes..Smooth.Muscle	4.8722875759e-10	7.21821901278e-09	0.473091887578
Nerve_Tibial	2.38783009014e-10	6.7386233368e-09	0.485866444576
A15.382.812.260.Dendritic.Cells	7.70580594084e-11	9.52944019023e-09	0.496774062032
Stomach	-2.52738671677e-11	7.54781680534e-09	0.501335855867
A11.436.397.Keratinocytes	-3.26310673338e-10	7.46721685729e-09	0.517427872602
Breast_Mammary_Tissue	-5.24294465748e-10	6.82815736797e-09	0.530602382022
A05.810.453.324.Kidney.Cortex	-7.457947692e-10	7.47207064779e-09	0.539752808594
Uterus	-8.30593137491e-10	7.64685150898e-09	0.543247643201
A11.118.637.Leukocytes	-1.24686031236e-09	9.16709159464e-09	0.554095217376
A03.556.124.Intestines	-1.11647498492e-09	7.73557686021e-09	0.55738001311
A02.633.567.850.Quadriceps.Muscle	-1.2899286871e-09	7.5140077464e-09	0.568151460413
Brain_Hippocampus	-1.0413788786e-09	5.85797889888e-09	0.570548595895
A15.378.316.580.Monocytes	-1.5236282901e-09	8.28653624068e-09	0.572941469171
A11.436.329.Granulosa.Cells	-1.43028261247e-09	6.73189414166e-09	0.584127322343
A10.615.284.473.Chorion	-1.59758085932e-09	7.20404297202e-09	0.587750304294
A15.382.812.Mononuclear.Phagocyte.System	-1.9929168914e-09	8.18667255736e-09	0.596165511805
A14.724.Pharynx	-1.8526924327e-09	7.23271958652e-09	0.601084163762
A11.329.114.Adipocytes	-2.10246972641e-09	8.09055714267e-09	0.602516859972
A09.371.729.Retina	-2.09371358698e-09	7.45965117406e-09	0.610518923045
Bladder	-1.79560700645e-09	6.33336455705e-09	0.611609148429
A15.382.Immune.System	-2.60812133858e-09	8.64190027022e-09	0.618597550943
A03.734.414.Islets.of.Langerhans	-2.34850281075e-09	7.66447885481e-09	0.620355234508
A15.145.Blood	-3.20512705505e-09	9.1248322404e-09	0.637300820972
Adipose_Visceral_(Omentum)	-2.61391266086e-09	7.27459685243e-09	0.640322375277
A11.872.190.Embryonic.Stem.Cells	-2.74367828814e-09	7.59369505146e-09	0.641066156686
A11.436.275.Endothelial.Cells	-2.87035520312e-09	7.92688401378e-09	0.64136278585
Colon_Sigmoid	-2.37102425474e-09	6.33943147209e-09	0.64580235342
A05.810.890.Urinary.Bladder	-3.22575228881e-09	7.77021239503e-09	0.660981530119
A11.443.Erythroid.Cells	-2.94585786486e-09	6.92050633818e-09	0.664826149732
Vagina	-2.91823072545e-09	6.84063826403e-09	0.665165420128
A11.872.Stem.Cells	-3.04452189517e-09	7.02235102364e-09	0.667691423896
A11.329.830.Stromal.Cells	-2.90101539455e-09	6.57009227072e-09	0.670592076485
A11.329.372.600.Macrophages..Alveolar	-3.32827195399e-09	7.51433714472e-09	0.671089246327
A14.549.167.Dentition	-3.45788309256e-09	7.7114956906e-09	0.673069994685
A05.360.319.679.256.Cervix.Uteri	-3.48267870365e-09	7.61875159508e-09	0.676207365135
Esophagus_Muscularis	-2.93590027853e-09	6.22491177852e-09	0.681407133482
Cervix_Endocervix	-3.51190950094e-09	7.38475680207e-09	0.682806763219
A10.690.Muscles	-3.6404713111e-09	7.65163368421e-09	0.682883370959
A10.165.450.300.Cicatrix	-3.8772004351e-09	8.01584982459e-09	0.685697675724
A04.411.Lung	-3.71920589845e-09	7.60737581069e-09	0.687541884477
A03.556.Gastrointestinal.Tract	-3.93306661033e-09	7.57864840178e-09	0.698108039552
Adipose_Subcutaneous	-3.45647101016e-09	6.47258491469e-09	0.703335147528
Cells_Transformed_fibroblasts	-3.6655113793e-09	6.44799899246e-09	0.715142980152
A11.872.580.Mesenchymal.Stem.Cells	-4.56068887252e-09	7.40509011542e-09	0.73101500937
A15.145.300.Fetal.Blood	-6.17652939801e-09	1.00141304594e-08	0.731310538805
A07.541.560.Heart.Ventricles	-3.97975000103e-09	6.30662524171e-09	0.73599370673
A06.407.312.Gonads	-4.88175495694e-09	7.49897169242e-09	0.742473502018
A10.690.467.Muscle..Smooth	-4.56442333564e-09	6.98122381517e-09	0.743384244908
A07.231.114.Arteries	-4.84342190663e-09	7.0999524283e-09	0.752436377631
A15.382.490.555.567.537.Killer.Cells..Natural	-5.57868644887e-09	8.16305991487e-09	0.752824925091
A05.360.319.114.373.Fallopian.Tubes	-5.86642900459e-09	8.28110063236e-09	0.760655201619
A03.556.249.249.356.668.Colon..Sigmoid	-5.50884897212e-09	7.63823028973e-09	0.764613097877
A11.436.Epithelial.Cells	-6.23581996665e-09	8.58087351523e-09	0.7662986644
Liver	-5.1308689963e-09	7.01585448441e-09	0.767709633973
Lung	-5.45627351731e-09	7.45498707258e-09	0.767883906445
A10.336.707.Prostate	-5.13999718001e-09	6.99238199616e-09	0.76885622521
A03.556.124.526.767.Rectum	-5.53987558485e-09	7.33076851499e-09	0.775086023156
